threshold,coverage,answerable_coverage,selective_risk,answerable_accuracy_when_answered,unsupported_abstention_accuracy,answered_count,error_count
0.0,1.0,1.0,0.631578947368421,0.4375,0.0,19,12
0.05,1.0,1.0,0.631578947368421,0.4375,0.0,19,12
0.1,1.0,1.0,0.631578947368421,0.4375,0.0,19,12
0.15,1.0,1.0,0.631578947368421,0.4375,0.0,19,12
0.2,0.8947368421052632,1.0,0.5882352941176471,0.4375,0.6666666666666666,17,10
0.25,0.7368421052631579,0.875,0.5714285714285714,0.42857142857142855,1.0,14,8
0.3,0.5263157894736842,0.625,0.6,0.4,1.0,10,6
0.35,0.21052631578947367,0.25,0.5,0.5,1.0,4,2
0.4,0.10526315789473684,0.125,0.5,0.5,1.0,2,1
0.45,0.10526315789473684,0.125,0.5,0.5,1.0,2,1
0.5,0.0,0.0,0.0,0.0,1.0,0,0
0.55,0.0,0.0,0.0,0.0,1.0,0,0
0.6,0.0,0.0,0.0,0.0,1.0,0,0
0.65,0.0,0.0,0.0,0.0,1.0,0,0
0.7,0.0,0.0,0.0,0.0,1.0,0,0
0.75,0.0,0.0,0.0,0.0,1.0,0,0
0.8,0.0,0.0,0.0,0.0,1.0,0,0
0.85,0.0,0.0,0.0,0.0,1.0,0,0
0.9,0.0,0.0,0.0,0.0,1.0,0,0
0.95,0.0,0.0,0.0,0.0,1.0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,0,0
