threshold,coverage,answerable_coverage,selective_risk,answerable_accuracy_when_answered,unsupported_abstention_accuracy,answered_count,error_count
0.0,1.0,1.0,0.7491749174917491,0.25333333333333335,0.0,303,227
0.05,1.0,1.0,0.7491749174917491,0.25333333333333335,0.0,303,227
0.1,1.0,1.0,0.7491749174917491,0.25333333333333335,0.0,303,227
0.15,1.0,1.0,0.7491749174917491,0.25333333333333335,0.0,303,227
0.2,0.8613861386138614,0.8633333333333333,0.7088122605363985,0.29343629343629346,0.3333333333333333,261,185
0.25,0.8613861386138614,0.8633333333333333,0.7088122605363985,0.29343629343629346,0.3333333333333333,261,185
0.3,0.8547854785478548,0.8566666666666667,0.7065637065637066,0.29571984435797666,0.3333333333333333,259,183
0.35,0.7920792079207921,0.7933333333333333,0.6875,0.31512605042016806,0.3333333333333333,240,165
0.4,0.6897689768976898,0.69,0.6746411483253588,0.3285024154589372,0.3333333333333333,209,141
0.45,0.45874587458745875,0.4633333333333333,0.6834532374100719,0.31654676258992803,1.0,139,95
0.5,0.066006600660066,0.06666666666666667,0.7,0.3,1.0,20,14
0.55,0.026402640264026403,0.02666666666666667,1.0,0.0,1.0,8,8
0.6,0.0,0.0,0.0,0.0,1.0,0,0
0.65,0.0,0.0,0.0,0.0,1.0,0,0
0.7,0.0,0.0,0.0,0.0,1.0,0,0
0.75,0.0,0.0,0.0,0.0,1.0,0,0
0.8,0.0,0.0,0.0,0.0,1.0,0,0
0.85,0.0,0.0,0.0,0.0,1.0,0,0
0.9,0.0,0.0,0.0,0.0,1.0,0,0
0.95,0.0,0.0,0.0,0.0,1.0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,0,0
