threshold,coverage,answerable_coverage,selective_risk,answerable_accuracy_when_answered,unsupported_abstention_accuracy,answered_count,error_count
0.0,1.0,1.0,0.9428571428571428,0.08,0.0,70,66
0.05,1.0,1.0,0.9428571428571428,0.08,0.0,70,66
0.1,1.0,1.0,0.9428571428571428,0.08,0.0,70,66
0.15,1.0,1.0,0.9428571428571428,0.08,0.0,70,66
0.2,0.34285714285714286,0.44,0.8333333333333334,0.18181818181818182,0.9,24,20
0.25,0.34285714285714286,0.44,0.8333333333333334,0.18181818181818182,0.9,24,20
0.3,0.34285714285714286,0.44,0.8333333333333334,0.18181818181818182,0.9,24,20
0.35,0.34285714285714286,0.44,0.8333333333333334,0.18181818181818182,0.9,24,20
0.4,0.34285714285714286,0.44,0.8333333333333334,0.18181818181818182,0.9,24,20
0.45,0.32857142857142857,0.42,0.8260869565217391,0.19047619047619047,0.9,23,19
0.5,0.3142857142857143,0.42,0.8181818181818182,0.19047619047619047,0.95,22,18
0.55,0.3142857142857143,0.42,0.8181818181818182,0.19047619047619047,0.95,22,18
0.6,0.3142857142857143,0.42,0.8181818181818182,0.19047619047619047,0.95,22,18
0.65,0.2857142857142857,0.4,0.8,0.2,1.0,20,16
0.7,0.2857142857142857,0.4,0.8,0.2,1.0,20,16
0.75,0.2857142857142857,0.4,0.8,0.2,1.0,20,16
0.8,0.17142857142857143,0.24,0.6666666666666666,0.3333333333333333,1.0,12,8
0.85,0.15714285714285714,0.22,0.6363636363636364,0.36363636363636365,1.0,11,7
0.9,0.15714285714285714,0.22,0.6363636363636364,0.36363636363636365,1.0,11,7
0.95,0.0,0.0,0.0,0.0,1.0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,0,0
